,0
2680,do
2681,it
2682,once
2683,and
2684,if
2685,another
2686,brand
2687,has
2688,already
2689,asked
2690,them
2691,to
2692,do
2693,"it,"
2694,they
2695,can
2696,just
2697,share
2698,those
2699,results
2700,with
2701,us
2702,or
2703,vice
2704,versa.
2705,if
2706,we've
2707,asked
2708,them
2709,to
2710,do
2711,"it,"
2712,they
2713,can
2714,send
2715,it
2716,to
2717,somebody
2718,else
2719,who's
2720,asking
2721,for
2722,it.
2723,so
2724,it's
2725,kind
2726,of
2727,a
2728,unified
2729,system
2730,where
2731,we're
2732,collecting
2733,the
2734,exact
2735,same
2736,information
2737,across
2738,the
2739,industry
2740,and
2741,across
2742,factories
2743,for
2744,really
2745,easy
2746,kind
2747,of
2748,benchmarks
2749,and
2750,comparisons
2751,and
2752,um
2753,hot
2754,spot
2755,"analysis,"
2756,it's
2757,really
2758,interesting.
2759,um
2760,"yeah,"
2761,the
2762,fashion
2763,industry
2764,definitely
2765,"has,"
2766,like
2767,a
2768,lot
2769,of
2770,sustainability
2771,tools
2772,that
2773,i'm
2774,sure
2775,are
2776,very
2777,specific
2778,to.
2779,yeah.
2780,um
2781,so
2782,in
2783,your
2784,"team,"
2785,um
2786,it
2787,sounds
2788,like
2789,you've
2790,had
2791,um
2792,well
2793,from
2794,what
2795,i
2796,saw
2797,in
2798,your
2799,"linkedin,"
2800,you've
2801,had
2802,an
2803,education
2804,and
2805,"sustainability,"
2806,but
2807,is
2808,that
2809,is
2810,that
2811,"common,"
2812,or
2813,is
2814,there
2815,any
2816,type
2817,of
2818,education
2819,that
2820,you
2821,have
2822,to
2823,do
2824,once
2825,you
2826,receive
2827,these
2828,"materials,"
2829,like
2830,how
2831,do
2832,you
2833,translate
2834,them
2835,and
2836,make
2837,them
2838,useful
2839,for
2840,the
2841,rest
2842,of
2843,the
2844,"organization,"
2845,or?
2846,"yeah,"
2847,maybe
2848,not
2849,"useful,"
2850,but
2851,"yeah,"
2852,what
2853,is
2854,"that,"
2855,you
2856,"know,"
2857,share
2858,out
2859,process
2860,to
2861,your
2862,stakeholders?
2863,"yeah,"
2864,that's
2865,a
2866,really
2867,good
2868,question.
2869,that's
2870,something
2871,that
2872,um
2873,we
2874,we
2875,take
2876,a
2877,lot
2878,of
2879,care
2880,to
2881,pay
2882,a
2883,lot
2884,of
2885,attention
2886,to.
2887,um
2888,and
2889,i
2890,think
2891,that's
2892,why
2893,i
2894,mentioned
2895,the
2896,piece
2897,about
2898,how
2899,closely
2900,we
2901,work
2902,with
2903,our
2904,marketing
2905,team
2906,in
2907,the
2908,beginning
2909,is
2910,um
2911,i
2912,think
2913,we
2914,"both,"
2915,because
2916,of
2917,our
2918,"size,"
2919,we're
2920,also
2921,what
2922,we're
2923,also
2924,a
2925,privately
2926,held
2927,company
2928,and
2929,sustainability
2930,kind
2931,of
2932,broadly
2933,has
2934,sort
2935,of
2936,been
2937,part
2938,of
2939,our
2940,our
2941,messaging
2942,and
2943,our
2944,our
2945,"yeah,"
2946,our
2947,reason
2948,why
2949,um
2950,for
2951,for
2952,a
2953,very
2954,long
2955,"time,"
2956,so
2957,it's
2958,really
2959,important
2960,that
2961,we
2962,get
2963,the
2964,story
2965,"right,"
2966,and
2967,um
2968,but
2969,that
2970,also
2971,it's
2972,the
2973,same
2974,is
2975,true
2976,for
2977,our
2978,internal
2979,storytelling
2980,as
2981,"well,"
2982,um
2983,because
2984,we
2985,really
2986,need
2987,kind
2988,of
2989,everybody
2990,to
2991,be
2992,on
2993,board
2994,and
2995,to
2996,be
2997,aligned
2998,with
2999,these
3000,bigger
3001,"missions,"
3002,you
3003,"know,"
3004,the
3005,bigger
3006,mission
3007,and
3008,these
3009,goals
3010,that
3011,we've
3012,set
3013,out
3014,for
3015,ourselves
3016,because
3017,they
3018,really
3019,are
3020,quite
3021,tough
3022,and
3023,it's
3024,not
3025,something
3026,that
3027,the
3028,rest
3029,of
3030,the
3031,industry
3032,kind
3033,of
3034,largely
3035,is
3036,"doing,"
3037,so
3038,it
3039,takes
3040,a
3041,lot
3042,of
3043,"work,"
3044,um
3045,but
3046,i
3047,think
3048,it's
3049,also
3050,a
3051,reason
3052,why
3053,a
3054,lot
3055,of
3056,employees
3057,join
3058,company-name-extracted
3059,in
3060,to
3061,begin
3062,with.
3063,so
3064,um
3065,i
3066,do
3067,have
3068,one
3069,person
3070,on
3071,my
3072,team
3073,who
3074,is
3075,actually
3076,an
3077,environmental
3078,analyst
3079,and
3080,she
3081,also
3082,has
3083,an
3084,educational
3085,background
3086,in
3087,"sustainability,"
3088,um
3089,but
3090,specifically
3091,in
3092,agriculture
3093,and
3094,uh
3095,but
3096,she
3097,her
3098,previous
3099,work
3100,was
3101,all
3102,in
3103,"communication,"
3104,so
3105,she
3106,kind
3107,of
3108,also
3109,has
3110,this
3111,really
3112,interesting
3113,um
3114,uh
3115,kind
3116,"of,"
3117,i
3118,don't
3119,"know,"
3120,she's
3121,got
3122,a
3123,lot
3124,of
3125,skills
3126,both
3127,on
3128,the
3129,analytical
3130,"side,"
3131,but
3132,also
3133,on
3134,the
3135,calm
3136,side.
3137,so
3138,we
3139,do
3140,a
3141,lot
3142,of
3143,work
3144,just
3145,kind
3146,of
3147,internally
3148,educating
3149,um
3150,not
3151,just
3152,keeping
3153,everyone
3154,up
3155,to
3156,"date,"
3157,but
3158,actually
3159,going
3160,to
3161,specific
3162,teams
3163,and
3164,kind
3165,of
3166,helping
3167,them
3168,understand
3169,um
3170,what
3171,what
3172,our
3173,goals
3174,are
3175,and
3176,how
3177,they
3178,specifically
3179,influence
3180,or
3181,impact
3182,what
3183,those
3184,goals
3185,"mean,"
3186,so
3187,um
3188,we've
3189,done
3190,things
3191,like
3192,sort
3193,of
3194,internal
3195,road
3196,shows
3197,where
3198,we've
3199,gone
3200,around
3201,to
3202,all
3203,of
3204,the
3205,strategic
3206,kind
3207,of
3208,teams
3209,that
3210,we've
3211,identified
3212,as
3213,being
3214,part
3215,or
3216,impactful
3217,to
3218,a
3219,specific
3220,goal
3221,and
3222,we
3223,kind
3224,of
3225,help
3226,break
3227,it
3228,down
3229,for
3230,"them,"
3231,help
3232,them
3233,understand
3234,what
3235,we're
3236,looking
3237,for
3238,like
3239,this
3240,year
3241,versus
3242,five
3243,years
3244,away
3245,and
3246,like
3247,where
3248,we
3249,should
3250,sort
3251,of
3252,be
3253,long
3254,term.
3255,um
3256,and
3257,we
3258,also
3259,do
3260,things
3261,like
3262,we
3263,hold
3264,office
3265,"hours,"
3266,we
3267,present
3268,in
3269,every
3270,i
3271,present
3272,in
3273,every
3274,monthly
3275,um
3276,uh
3277,"company,"
3278,all
3279,hands
3280,that
3281,we
3282,have
3283,on
3284,"updates,"
3285,where
3286,we
3287,just
3288,try
3289,to
3290,"like,"
3291,hit
3292,people
3293,on
3294,multiple
3295,kind
3296,of
3297,levels
3298,and
3299,layers
3300,to
3301,get
3302,them
3303,engaged
3304,and
3305,excited.
3306,um
3307,and
3308,we
3309,found
3310,that
3311,that's
3312,really
3313,"worked,"
3314,at
3315,least
3316,for
3317,"us,"
3318,i
3319,"mean,"
3320,we
3321,still
3322,get
3323,tons
3324,of
3325,"questions,"
3326,people
3327,"just,"
3328,there's
3329,a
3330,lot
3331,of
3332,"interest,"
3333,people
3334,really
3335,want
3336,to
3337,know
3338,what
3339,we're
3340,up
3341,"to,"
3342,what
3343,we're
3344,doing
3345,and
3346,uh
3347,that
3348,we're
3349,actually
3350,doing
3351,what
3352,we
3353,say
3354,we're
3355,gonna
3356,do.
3357,so
3358,i
3359,sometimes
3360,feel
3361,more
3362,pressure
3363,from
3364,our
3365,internal
3366,teams
3367,than
3368,i
3369,do
3370,from
3371,"like,"
3372,press
3373,or
3374,anyone
3375,else
3376,that
3377,"like,"
3378,asks
3379,us
3380,questions
3381,about
3382,what
3383,we're
3384,"doing,"
3385,because
3386,it
3387,really
3388,is
3389,a
3390,"hard,"
3391,it's
3392,a
3393,high
3394,bar
3395,to
3396,live
3397,up
3398,to.
3399,um
3400,but
3401,i
3402,think
3403,at
3404,the
3405,end
3406,of
3407,the
3408,"day,"
3409,"like,"
3410,what
3411,we're
3412,really
3413,trying
3414,to
3415,do
3416,is
3417,make
3418,make
3419,our
3420,goals
3421,and
3422,and
3423,our
3424,work
3425,around
3426,"sustainability,"
3427,just
3428,part
3429,of
3430,the
3431,regular
3432,kind
3433,of
3434,almost
3435,equivalent
3436,to
3437,business
3438,acumen.
3439,"so,"
3440,as
3441,the
3442,finance
3443,team
3444,in
3445,all
3446,hands
3447,is
3448,presenting
3449,on
3450,our
3451,financials
3452,as
3453,"like,"
3454,you
3455,"know,"
3456,all
3457,of
3458,these
3459,"like,"
3460,traditional
3461,business
3462,units
3463,are
3464,presenting.
3465,we
3466,also
3467,have
3468,sustainability
3469,presenting
3470,right
3471,alongside
3472,them
3473,to
3474,show
3475,how
3476,how
3477,how
3478,or
3479,how
3480,not
3481,our
3482,goals
3483,are
3484,kind
3485,of
3486,lining
3487,up
3488,with
3489,each
3490,other.
3491,so
3492,i
3493,think
3494,it's
3495,really
3496,important
3497,from
3498,like
3499,that
3500,top
3501,down
3502,"perspective,"
3503,but
3504,that
3505,we're
3506,also
3507,getting
3508,"in,"
3509,you
3510,"know,"
3511,throughout
3512,various
3513,levels
3514,and
3515,across
3516,various
3517,teams
3518,like
3519,helping
3520,to
3521,really
3522,break
3523,down
3524,the
3525,science
3526,or
3527,the
3528,metrics
3529,um
3530,into
3531,a
3532,way
3533,that's
3534,really
3535,understandable
3536,for
3537,everybody.
3538,um
3539,and
3540,hopefully
3541,that
3542,also
3543,translates
3544,out
3545,to
3546,our
3547,customers
3548,as
3549,well.
3550,"yeah,"
3551,i
3552,mean
3553,that
3554,sounds
3555,like
3556,a
3557,pretty
3558,utopian
3559,sustainability
3560,company
3561,based
3562,on
3563,like
3564,a
3565,lot
3566,of
3567,our
3568,people
3569,that
3570,we
3571,talked
3572,"to,"
3573,they're
3574,like
3575,we
3576,need
3577,to
3578,be
3579,better
3580,aligned
3581,with
3582,business
3583,goals
3584,and
3585,yeah
3586,and
3587,you
3588,guys
3589,even
3590,have
3591,leadership
3592,kpi
3593,s
3594,tied
3595,to
3596,sustainability
3597,and
3598,that's
3599,something
3600,very
3601,specific
3602,heard
3603,before
3604,and
3605,like
3606,what
3607,how
3608,are
3609,those
3610,kpi
3611,s
3612,um
3613,like
3614,tracked
3615,and
3616,checked
3617,um
3618,like
3619,you
3620,have
3621,to
3622,go
3623,and
3624,say
3625,okay
3626,you
3627,met
3628,um
3629,your
3630,goals
3631,for
3632,this
3633,year.
3634,um
3635,do
3636,does
3637,the
3638,leadership
3639,understand
3640,how
3641,to
3642,achieve
3643,those
3644,goals
3645,or
3646,like
3647,what
3648,is
3649,what
3650,are
3651,the
3652,actions
3653,that
3654,are
3655,set
3656,in
3657,place?
3658,"yeah,"
3659,that's
3660,a
3661,good
3662,question.
3663,and
3664,i'll
3665,also
3666,say
3667,that
3668,a
3669,lot
3670,of
3671,this
3672,kind
3673,of
3674,um
3675,more
3676,substantial
3677,side
3678,of
3679,like
3680,the
3681,goal
3682,"setting,"
3683,the
3684,strategic
3685,roadmap
3686,we've
3687,"built,"
3688,this
3689,is
3690,all
3691,just
3692,happened
3693,in
3694,the
3695,past
3696,year
3697,and
3698,a
3699,half.
3700,so
3701,it's
3702,still
3703,a
3704,little
3705,new.
3706,so
3707,like
3708,all
3709,of
3710,these
3711,um
3712,these
3713,kind
3714,of
3715,specifics
3716,are
3717,really
3718,new
3719,"to,"
3720,to
3721,our
3722,organization.
3723,um
3724,it
3725,was
3726,the
3727,topics
3728,are
3729,not
3730,new
3731,but
3732,like
3733,the
3734,strategy
3735,and
3736,the
3737,tracking
3738,is
3739,um
3740,so
3741,the
3742,way
3743,that
3744,we're
3745,doing
3746,it
3747,is
3748,we're
3749,trying
3750,to
3751,actually
3752,build
3753,into
3754,all
3755,of
3756,our
3757,existing
3758,systems.
3759,so
3760,we
3761,already
3762,use
3763,a
3764,system
3765,right
3766,now
3767,where
3768,every
3769,individual
3770,in
3771,the
3772,"company,"
3773,no
3774,matter
3775,what
3776,your
3777,department
3778,or
3779,"level,"
3780,um
3781,you
3782,have
3783,to
3784,go
3785,in
3786,and
3787,set
3788,goals
3789,for
3790,"yourselves,"
3791,that
3792,kind
3793,of
3794,ladder
3795,up
3796,to
3797,our
3798,overarching
3799,company
3800,um
3801,company
3802,goals
3803,that
3804,we
3805,have
3806,like
3807,3
3808,to
3809,5
3810,strategic
3811,goals
3812,for
3813,the
3814,"company,"
3815,those
3816,then
3817,get
3818,distilled
3819,on
3820,the
3821,team
3822,"basis,"
3823,and
3824,then
3825,you
3826,have
3827,your
3828,individual
3829,goals
3830,that
3831,you're
3832,working
3833,"towards,"
3834,so
3835,we
3836,do
3837,that
3838,on
3839,a
3840,quarterly
3841,"basis,"
3842,and
3843,then
3844,we
3845,also
3846,have
3847,to
3848,write
3849,feedback
3850,for
3851,ourselves
3852,and
3853,have
3854,conversations
3855,with
3856,our
3857,direct
3858,managers
3859,about
3860,our
3861,goals
3862,and
3863,our
3864,progress
3865,and
3866,kind
3867,of
3868,what
3869,we
3870,want
3871,to
3872,work
3873,on
3874,in
3875,the
3876,future.
3877,so
3878,um
3879,this
3880,is
3881,something
3882,that
3883,our
3884,people
3885,team
3886,or
3887,our
3888,hr
3889,team
3890,is
3891,really
3892,in
3893,control
3894,"of,"
3895,but
3896,um
3897,depending
3898,on
3899,the
3900,team
3901,and
3902,and
3903,kind
3904,of
3905,like
3906,what
3907,our
3908,sustainability
3909,priorities
3910,"are,"
3911,specific
3912,teams
3913,will
3914,have
3915,those
3916,like
3917,sustainability
3918,goals
3919,that
3920,are
3921,built
3922,into
3923,that
3924,goal
3925,setting
3926,process.
3927,so
3928,um
3929,we
3930,have
3931,them
3932,"for,"
3933,we
3934,have
3935,really
3936,big
3937,preferred
3938,material
3939,"schools,"
3940,so
3941,this
3942,is
3943,something
3944,that
3945,our
3946,raw
3947,material
3948,sustainability
3949,product
3950,development
3951,and
3952,sourcing
3953,teams
3954,have
3955,written
3956,into
3957,their
3958,kind
3959,of
3960,goals
3961,for
3962,for
3963,this
3964,"year,"
3965,we
3966,only
3967,do
3968,it
3969,on
3970,like
3971,an
3972,annual
3973,"basis,"
3974,i
3975,kind
3976,of
3977,wish
3978,maybe
3979,we
3980,could
3981,do
3982,it
3983,a
3984,little
3985,further
3986,"out,"
3987,um
3988,but
3989,it's
3990,just
3991,it's
3992,just
3993,"annual,"
3994,so
3995,each
3996,quarter
3997,you
3998,kind
3999,of
4000,are
4001,like
4002,setting
4003,your
4004,little
4005,mini
4006,goals
4007,for
4008,that
4009,bigger
4010,annual
4011,goal.
4012,um
4013,but
4014,we
4015,do
4016,the
4017,same
4018,thing
4019,for
4020,our
4021,carbon
4022,reduction
4023,"goals,"
4024,um
4025,we
4026,do
4027,the
4028,same
4029,thing
4030,for
4031,some
4032,of
4033,our
4034,social
4035,uh
4036,social
4037,impact
4038,measures.
4039,um
4040,and
4041,those
4042,are
4043,the
4044,really
4045,big
4046,ones.
4047,"oh,"
4048,but
4049,then
4050,we
4051,also
4052,have
4053,like
4054,marketing
4055,goals
4056,as
4057,well.
4058,um
4059,so
4060,depending
4061,on
4062,like
4063,the
4064,function
4065,and
4066,the
4067,and
4068,what
4069,the
4070,goals
4071,"are,"
4072,"like,"
4073,there
4074,will
4075,be
4076,specific
4077,kind
4078,of
4079,indicators
4080,that
4081,are
4082,being
4083,tracked
4084,that
4085,way.
4086,i
4087,don't
4088,think
4089,it's
4090,a
4091,super
4092,um
4093,savvy.
4094,um
4095,but
4096,that's
4097,just
4098,kind
4099,of
4100,like
4101,the
4102,best
4103,tool
4104,that
4105,we
4106,have
4107,right
4108,"now,"
4109,so
4110,i'm
4111,sure
4112,we're
4113,we're
4114,actually
4115,not
4116,um
4117,really
4118,tracking
4119,that
4120,"closely,"
4121,like
4122,how
4123,were
4124,we
4125,don't
4126,have
4127,like
4128,the
4129,agility
4130,or
4131,like
4132,the
4133,real
4134,"time,"
4135,uh
4136,like
4137,accuracy
4138,to
4139,see
4140,how
4141,how
4142,a
4143,team
4144,or
4145,how
4146,an
4147,individual
4148,"is,"
4149,is
4150,tracking
4151,at
4152,any
4153,given
4154,time.
4155,but
4156,i
4157,think
4158,what
4159,we
4160,do
4161,see
4162,is
4163,the
4164,change
4165,in
4166,some
4167,of
4168,the
4169,numbers.
4170,so
4171,like
4172,we
4173,are
4174,tracking
4175,on
4176,it
4177,on
4178,a
4179,more
4180,macro
4181,"level,"
4182,like
4183,how
4184,we
4185,are
4186,transitioning
4187,from
4188,conventional
4189,cotton
4190,to
4191,organic
4192,based
4193,on
4194,like
4195,fabric
4196,count.
4197,um
4198,similarly
4199,for
4200,for
4201,carbon
4202,"emissions,"
4203,like
4204,we
4205,do
4206,similar
4207,"exercises,"
4208,we
4209,know
4210,um
4211,kind
4212,of
4213,"what,"
4214,depending
4215,on
4216,which
4217,factories
4218,we
4219,allocate
4220,to
4221,or
4222,which
4223,materials
4224,were
4225,building
4226,into.
4227,we
4228,can
4229,kind
4230,of
4231,get
4232,a
4233,sense
4234,of
4235,directionally
4236,where
4237,our
4238,emissions
4239,profile
4240,is
4241,going
4242,to
4243,be
4244,for
4245,next
4246,year
4247,for
4248,instance.
4249,so
4250,i've
4251,seen
4252,like
4253,material
4254,things
4255,and
4256,"yeah,"
4257,that
4258,was
4259,like
4260,a
4261,lot
4262,of
4263,information.
4264,yeah.
4265,when
4266,you
4267,say
4268,this
4269,tool
4270,that
4271,you
4272,used
4273,to
4274,track
4275,um
4276,i
4277,think
4278,your
4279,kpi
4280,is
4281,is
4282,that
4283,like
4284,just
4285,a
4286,kpi
4287,tracking
4288,tool
4289,or
4290,is
4291,this
4292,something
4293,that
4294,you
4295,know
4296,something
4297,that
4298,your
4299,hr
4300,team
4301,built
4302,into?
4303,no
4304,it's
4305,it's
4306,called
4307,reflective
4308,with
4309,a.
4310,k.
4311,um
4312,and
4313,it's
4314,i
4315,think
4316,it's
4317,something
4318,a
4319,lot
4320,of
4321,like
4322,startups
4323,kind
4324,of
4325,use.
4326,it's
4327,just
4328,um
4329,i'm
4330,sure
4331,i'm
4332,sure
4333,we
4334,pay
4335,for
4336,access
4337,to
4338,it
4339,but
4340,it's
4341,basically
4342,just
4343,like
4344,a
4345,pr
4346,tracker.
4347,um
4348,and
4349,i
4350,think
4351,it's
4352,a
4353,way
4354,to
4355,help
4356,facilitate
4357,like
4358,conversations
4359,and
4360,goal
4361,setting
4362,between
4363,leaders
4364,and
4365,team
4366,members.
4367,um
4368,cool.
4369,so
4370,moving
4371,on
4372,to
4373,um
4374,science
4375,based
4376,target
4377,work.
4378,have
4379,"you,"
4380,has
4381,your
4382,organization
4383,put
4384,any
4385,resources
4386,towards
4387,um
4388,specifically
4389,the
4390,science
4391,based
4392,target
4393,initiative?
4394,what
4395,has
4396,that
4397,been
4398,like?
4399,so
4400,we
4401,um
4402,were
4403,approved
4404,for
4405,our
4406,science-based
4407,target
4408,in
4409,october
4410,of
4411,2021.
4412,um
4413,and
4414,pride
4415,in
4416,the
4417,lead
4418,up
4419,to
4420,"that,"
4421,we
4422,had
4423,actually
4424,hired
4425,a
4426,consulting
4427,firm
4428,to
4429,perform
4430,our
4431,2019
4432,baseline
4433,kind
4434,of
4435,greenhouse
4436,gas
4437,footprint.
4438,um
4439,and
4440,in
4441,the
4442,process
4443,of
4444,kind
4445,of
4446,going
4447,setting
4448,up
4449,for
4450,two
4451,to
4452,propose
4453,are
4454,science
4455,based
4456,targets.
4457,we
4458,started
4459,working
4460,with
4461,a
4462,second
4463,group
4464,called
4465,watershed
4466,which
4467,is
4468,more
4469,of
4470,like
4471,a
4472,platform
4473,to
4474,help
4475,measure.
4476,so
4477,we've
4478,we've
4479,definitely
4480,put
4481,resources
4482,into
4483,like
4484,the
4485,measurement
4486,side.
4487,um
4488,we're
4489,now
4490,working
4491,with
4492,with
4493,watershed
4494,on
4495,a
4496,kind
4497,of
4498,an
4499,ongoing
4500,basis
4501,um
4502,to
4503,perform
4504,our
4505,annual
4506,"footprints,"
4507,trying
4508,to
4509,really
4510,get
4511,a
4512,lot
4513,um
4514,closer
4515,and
4516,uh
4517,"more,"
4518,more
4519,real
4520,time
4521,as
4522,much
4523,as
4524,possible
4525,within
4526,that
4527,measurement
4528,and
4529,also
4530,build
4531,out
4532,tools
4533,to
4534,be
4535,able
4536,to
4537,project
4538,what
4539,"um,"
4540,what
4541,our
4542,emissions
4543,profile
4544,is
4545,going
4546,to
4547,be
4548,based
4549,on
4550,the
4551,decisions
4552,that
4553,we're
4554,making.
4555,so
4556,one
4557,of
4558,the
4559,maybe
4560,interesting
4561,things
4562,about
4563,the
4564,apparel
4565,and
4566,footwear
4567,world
4568,is
4569,the
4570,decisions
4571,that
4572,we're
4573,making.
4574,so
4575,we
4576,work
4577,basically
4578,a
4579,calendar
4580,year
4581,um
4582,ahead
4583,of
4584,time.
4585,so
4586,the
4587,product
4588,that
4589,we
4590,are
4591,designing
4592,and
4593,developing
4594,right
4595,now
4596,in
4597,august
4598,of
4599,2022
4600,is
4601,going
4602,to
4603,be
4604,the
4605,product
4606,that
4607,we're
4608,actually
4609,going
4610,to
4611,realize
4612,emissions
4613,for
4614,in
4615,august
4616,of
4617,2023
4618,"um,"
4619,and
4620,possibly
4621,even
4622,later.
4623,so
4624,we're
4625,trying
4626,to
4627,build
4628,with
4629,watershed
4630,a
4631,tool
4632,or
4633,a
4634,way
4635,to
4636,kind
4637,of
4638,get
4639,a
4640,sense
4641,of
4642,instead
4643,of
4644,looking
4645,"backwards,"
4646,doing
4647,like
4648,an
4649,annual
4650,review
4651,of
4652,the
4653,previous
4654,year's
4655,greenhouse
4656,gas
4657,"footprint,"
4658,how
4659,can
4660,we
4661,actually
4662,make
4663,better
4664,decisions
4665,today?
4666,based
4667,on
4668,what
4669,we
4670,know
4671,our
4672,goals
4673,are
4674,set
4675,to
4676,be
4677,in
4678,the
4679,future.
4680,so
4681,we
4682,know
4683,that
4684,we
4685,want
4686,to
4687,be
4688,at
4689,a
4690,certain
4691,place.
4692,"um,"
4693,you
4694,"know,"
4695,by
4696,the
4697,end
4698,of
4699,"2025,"
4700,just
4701,kind
4702,of
4703,directionally
4704,to
4705,show
4706,progress
4707,towards
4708,our
4709,2030
4710,goal.
4711,so
4712,like
4713,what
4714,do
4715,we
4716,need
4717,to
4718,do
4719,"today,"
4720,what
4721,do
4722,we
4723,need
4724,to
4725,be
4726,thinking
4727,about
4728,from
4729,a
4730,materials
4731,perspective
4732,from
4733,a
4734,manufacturing
4735,"perspective,"
4736,obviously
4737,logistics
4738,"etc,"
4739,like
4740,all
4741,of
4742,the
4743,decisions.
4744,"um,"
4745,so
4746,that
4747,we
4748,can
4749,kind
4750,of
4751,get
4752,more
4753,of
4754,like
4755,more
4756,into
4757,the
4758,projecting
4759,um
4760,side
4761,of
4762,things
4763,rather
4764,than
4765,just
4766,like
4767,a
4768,retrospective
4769,analysis
4770,of
4771,our
4772,previous
4773,results.
4774,so
4775,we're
4776,putting
4777,a
4778,lot
4779,of
4780,uh
4781,kind
4782,of
4783,human
4784,resources
4785,into
4786,that
4787,right
4788,now
4789,into
4790,thinking
4791,about
4792,how
4793,that
4794,would
4795,how
4796,that
4797,could
4798,just
4799,sort
4800,of
4801,manifest
4802,and
4803,be
4804,used
4805,as
4806,a
4807,tool
4808,and
4809,and
4810,also
4811,cross
4812,functionally
4813,as
4814,a
4815,as
4816,a
4817,tool
4818,for
4819,like
4820,a
4821,directional
4822,read
4823,on
4824,our
4825,climate
4826,goals.
4827,um
4828,but
4829,yeah
4830,we've
4831,we've
4832,done
4833,quite
4834,a
4835,bit
4836,of
4837,work
4838,especially
4839,for
4840,a
4841,company
4842,of
4843,our
4844,size
4845,in
4846,in
4847,in
4848,the
4849,c.t.
4850,and
4851,what
4852,has
4853,the
4854,relationship
4855,with
4856,watershed
4857,been
4858,like?
4859,are
4860,they
4861,more
4862,on
4863,a
4864,consultant
4865,type
4866,of
4867,um
4868,feeling
4869,i
4870,guess
4871,um
4872,rather
4873,like
4874,or
4875,is
4876,it
4877,does
4878,it
4879,feel
4880,like
4881,they're
4882,part
4883,of
4884,your
4885,company?
4886,um
4887,it
4888,doesn't
4889,feel
4890,like
4891,they're
4892,part
4893,of
4894,our
4895,"company,"
4896,it
4897,definitely
4898,is
4899,more
4900,like
4901,a
4902,consulting
4903,relationship
4904,but
4905,they've
4906,been
4907,really
4908,great
4909,and
4910,helpful.
4911,so
4912,we
4913,were
4914,we
4915,were
4916,the
4917,for
4918,their
4919,first
4920,um
4921,kind
4922,of
4923,fashion
4924,company
4925,that
4926,signed
4927,onto
4928,their
4929,platforms.
4930,so
4931,the
4932,first
4933,year
4934,that
4935,we
4936,worked
4937,together
4938,with
4939,a
4940,"lot,"
4941,i
4942,mean
4943,we
4944,had
4945,weekly
4946,calls
4947,like
4948,um
4949,we
4950,really
4951,were
4952,helping
4953,them
4954,i
4955,think
4956,build
4957,what
4958,their
4959,dashboard
4960,and
4961,kind
4962,of
4963,back
4964,end
4965,system
4966,needed
4967,to
4968,look
4969,like
4970,and
4971,be
4972,and
4973,kind
4974,of
4975,compute
4976,for
4977,for
4978,our
4979,industry.
4980,um
4981,so
4982,that
4983,was
4984,a
4985,look
4986,that
4987,that's
4988,been
4989,you
4990,know
4991,a
4992,year
4993,in
4994,the
4995,making.
4996,um
4997,and
4998,now
4999,we
5000,"still,"
5001,we
5002,now
5003,have
5004,bi
5005,weekly
5006,calls
5007,with
5008,them
5009,and
5010,we
5011,work
5012,very
5013,closely
5014,just
5015,to
5016,kind
5017,of
5018,continue
5019,both
5020,on
5021,the
5022,measurement
5023,"side,"
5024,but
5025,also
5026,on
5027,this
5028,this
5029,build
5030,out
5031,of
5032,this
5033,kind
5034,of
5035,special
5036,part
5037,of
5038,the
5039,tool
5040,that
5041,we
5042,really
5043,want
5044,to
5045,see
5046,um
5047,embedded
5048,in
5049,the
5050,"platform,"
5051,so
5052,um
5053,"yeah,"
5054,i
5055,guess
5056,it
5057,is
5058,more
5059,like
5060,a
5061,consultant
5062,consulting
5063,relationship
5064,and
5065,is
5066,there
5067,so
5068,you
5069,you've
5070,been
5071,you've
5072,submitted
5073,and
5074,it
5075,has
5076,been
5077,accepted
5078,your
5079,science-based
5080,target.
5081,and
5082,how
5083,do
5084,"you,"
5085,what's
5086,the
5087,process
5088,internally
5089,of
5090,uh
5091,reporting
5092,on
5093,how
5094,you're
5095,doing?
5096,um
5097,is
5098,it
5099,i
5100,believe
5101,it's
5102,like
5103,"20,"
5104,and
5105,it's
5106,an
5107,organic
5108,"cotton,"
5109,i
5110,believe
5111,you
5112,said
5113,um
5114,like
5115,what
5116,is
5117,the
5118,process
5119,of
5120,reporting
5121,on
5122,that?
5123,so
5124,for
5125,science
5126,based
5127,"targets,"
5128,um
5129,i
5130,think
5131,the
5132,requirement
5133,is
5134,that
5135,you
5136,just
5137,have
5138,to
5139,be
5140,publicly
5141,reporting
5142,what
5143,your
5144,your
5145,progress
5146,or
5147,your
5148,challenges
5149,whatever
5150,um
5151,on
5152,an
5153,annual
5154,basis
5155,in
5156,the
5157,format
5158,and
5159,venue
5160,of
5161,your
5162,choice.
5163,so
5164,it's
5165,really
5166,open
5167,open
5168,ended
5169,from
5170,a
5171,company
5172,perspective
5173,as
5174,far
5175,as
5176,reporting
5177,goes.
5178,um
5179,this
5180,is
5181,also
5182,something
5183,new
5184,forever
5185,lane.
5186,we
5187,we
5188,just
5189,published
5190,our
5191,first
5192,sustainability
5193,report
5194,in
5195,april
5196,of
5197,this
5198,year.
5199,um
5200,so
